OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN
January,Saturday,2021,19,D41,,NO,YES,NO,126,Dorset Park (126),-79.2810965997869,43.765820740158325,1,0,0,0,0
January,Saturday,2021,14,D33,,NO,YES,NO,150,Fenside-Parkwoods (150),-79.34465135817413,43.7646457167211,1,0,0,0,0
January,Saturday,2021,13,D22,,NO,NO,YES,159,Etobicoke City Centre (159),-79.54981069160299,43.63037261485576,1,0,0,0,0
January,Saturday,2021,3,D23,,YES,NO,NO,007,Willowridge-Martingrove-Richview (7),-79.53476867102471,43.694127582474046,1,0,1,0,0
January,Saturday,2021,19,D43,,NO,NO,YES,141,Golfdale-Cedarbrae-Woburn (141),-79.22794044777918,43.76874662257185,1,0,1,0,0
January,Saturday,2021,15,D55,,NO,NO,YES,070,South Riverdale (70),-79.33743028163565,43.65500050981459,1,0,0,0,0
January,Saturday,2021,17,D32,,NO,NO,YES,035,Westminster-Branson (35),-79.44986155254655,43.789582026511624,1,0,0,0,0
January,Saturday,2021,14,D41,,NO,YES,YES,120,Clairlea-Birchmount (120),-79.25984889958347,43.71121491009241,1,0,0,0,0
January,Saturday,2021,20,D11,,YES,YES,NO,171,Junction-Wallace Emerson (171),-79.45047021868714,43.66392422245083,1,0,0,0,1
January,Saturday,2021,14,D33,,NO,NO,YES,042,Banbury-Don Mills (42),-79.34502851622605,43.73682870953581,1,0,0,0,0
January,Saturday,2021,17,D22,,NO,YES,NO,159,Etobicoke City Centre (159),-79.51482932229902,43.62357454902827,1,0,0,0,0
January,Saturday,2021,10,D42,,NO,YES,NO,118,Tam O'Shanter-Sullivan (118),-79.29346258821549,43.78211963627784,1,0,0,0,0
January,Saturday,2021,15,D42,,NO,NO,YES,130,Milliken (130),-79.26790073567186,43.83272696567633,1,0,0,0,0
January,Saturday,2021,3,D53,,NO,YES,NO,174,South Eglinton-Davisville (174),-79.39547074974986,43.70735320893923,1,0,0,0,0
